sample_id,q_idx,type,gold,qwen,z3,final,ok,qwen_ok,z3_ok,z3_used,qwen_z3_agree,qwen_conf,z3_conf,z3_grounded,z3_def,z3_source,question
0,0,yes_no,NA,Unknown,Yes,Yes,,,,True,False,0.6,1.0,1.0,1,yn,Do all students course?
0,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.6,0.0,0.0,0,yn,Do all students submits all assignments?
1,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all students reviews mistakes?
1,1,yes_no,NA,Yes,No,No,,,,True,False,0.6,0.6,1.0,1,yn,Does at least one student improves technique?
2,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all researchers designs a study?
2,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.6,1.0,0.8,0,yn,Do all researchers publishes a paper?
3,0,mc,NA,B,B,B,,,,True,True,0.4,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. At least one student joins the study group. B. No student joins the study group. C. Every student completes the group project. D. At least one student completes the group project."
3,1,yes_no,NA,No,Unknown,No,,,,False,False,0.8,1.0,1.0,0,yn,"According to the premises, is the following statement true? Every student receives the group grade."
4,0,yes_no,NA,No,No,No,,,,True,True,0.8,1.0,1.0,1,yn,Does at least one developer code?
4,1,yes_no,NA,Unknown,Yes,Unknown,,,,False,False,0.4,1.0,0.4,1,yn,Do all developers deploys to production?
5,0,mc,NA,A,A,A,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. Every employee accesses sensitive data. B. No employee accesses sensitive data. C. Only some employees accesses sensitive data. D. The premises do not support any conclusion about accessesing."
5,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,"According to the premises, is the following statement true? Every employee receives security clearance."
6,0,mc,NA,B,Unknown,B,,,,False,False,1.0,0.0,0.0,0,mc,"Based on the premises, which statement is correct? A. Every student completes the coursework. B. It cannot be determined whether every student completes the coursework. C. No student completes the coursework. D. Every student who earns course credit must completes."
6,1,yes_no,NA,Yes,Unknown,Yes,,,,False,False,0.8,1.0,1.0,0,yn,"According to the premises, is the following statement true? If a student earns course credit, then the student completes the coursework."
7,0,mc,NA,A,A,A,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which conclusion follows? A. At least one researcher designs a study. B. Every researcher designs a study. C. No researcher designs a study. D. At least one researcher reads the literature, but nothing about designs a study."
7,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,"According to the premises, is the following statement true? Every researcher publishes a paper."
8,0,mc,NA,A,A,A,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. Every researcher collects data. B. No researcher collects data. C. Only some researchers collects data. D. The premises do not support any conclusion about collectsing."
8,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,"According to the premises, is the following statement true? Every researcher designs a study."
9,0,mc,NA,A,A,A,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which conclusion follows? A. At least one student earns course credit. B. Every student earns course credit. C. No student earns course credit. D. At least one student completes the coursework, but nothing about earns course credit."
9,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,0.8,1.0,1.0,1,yn,"According to the premises, is the following statement true? Every student graduates from the university."
10,0,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.8,0.0,0.0,0,yn,Do all students study group?
10,1,yes_no,NA,No,Unknown,No,,,,False,False,0.8,0.0,0.0,0,yn,Do all students group project?
11,0,mc,NA,A,A,A,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which conclusion follows? A. At least one mentor provides feedback. B. Every mentor provides feedback. C. No mentor provides feedback. D. At least one mentor schedules a session, but nothing about provides feedback."
11,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,"According to the premises, is the following statement true? Every mentor tracks progress."
12,0,mc,NA,B,Unknown,B,,,,False,False,0.8,0.0,0.0,0,mc,"Based on the premises, which statement is correct? A. Every student completes the lab work. B. It cannot be determined whether every student completes the lab work. C. No student completes the lab work. D. Every student who passes the lab component must completes."
12,1,yes_no,NA,Yes,Unknown,Yes,,,,False,False,0.6,1.0,1.0,0,yn,"According to the premises, is the following statement true? If a student passes the lab component, then the student completes the lab work."
13,0,mc,NA,B,Unknown,B,,,,False,False,1.0,0.0,0.0,0,mc,"Based on the premises, which statement is correct? A. Every developer writes the code. B. It cannot be determined whether every developer writes the code. C. No developer writes the code. D. Every developer who passes the code review must writes."
13,1,yes_no,NA,Yes,Unknown,Yes,,,,False,False,0.8,1.0,1.0,0,yn,"According to the premises, is the following statement true? If a developer passes the code review, then the developer writes the code."
