flat_id,row_i,q_i,gold,is_mc,question_type,target_predicate_guess,target_score,answer_explanation_mismatch,has_direct_fol_conflict,grammar_flags,expected_verifier_rules,question
generated_v4style_300_0_0,0,0,Unknown,False,universal,AttendsAllLectures,0.3333333333333333,False,False,UNNATURAL_QUESTION_GRAMMAR,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all students course?
generated_v4style_300_0_1,0,1,Unknown,False,universal,SubmitsAllAssignments,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all students submits all assignments?
generated_v4style_300_1_0,1,0,Yes,False,universal,ReviewsMistakes,1.0,False,True,,UNIVERSAL_FORWARD_CHAIN,Do all students reviews mistakes?
generated_v4style_300_1_1,1,1,No,False,existential,ImprovesTechnique,1.0,False,True,VERB_AGREEMENT_ODD,E1_FORALL_NEG_NOT_EXISTS,Does at least one student improves technique?
generated_v4style_300_2_0,2,0,Yes,False,universal,DesignsStudy,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,Do all researchers designs a study?
generated_v4style_300_2_1,2,1,Unknown,False,universal,PublishesPaper,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all researchers publishes a paper?
generated_v4style_300_3_0,3,0,B,True,mc,CompletesGroupProject,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement can be inferred?
A. At least one student joins the study group.
B. No student joins the study group.
C. Every student completes the group project.
D. At least one student completes the group project."
generated_v4style_300_3_1,3,1,Unknown,False,universal,ReceivesGroupGrade,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? Every student receives the group grade."
generated_v4style_300_4_0,4,0,No,False,existential,WritesCode,0.5,False,False,,E1_FORALL_NEG_NOT_EXISTS,Does at least one developer code?
generated_v4style_300_4_1,4,1,Yes,False,universal,DeploysToProduction,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,Do all developers deploys to production?
generated_v4style_300_5_0,5,0,A,True,mc,AccessesSensitiveData,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement can be inferred?
A. Every employee accesses sensitive data.
B. No employee accesses sensitive data.
C. Only some employees accesses sensitive data.
D. The premises do not support any conclusion about accessesing."
generated_v4style_300_5_1,5,1,Yes,False,universal,ReceivesClearance,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,"According to the premises, is the following statement true? Every employee receives security clearance."
generated_v4style_300_6_0,6,0,B,True,mc,CompletesCoursework,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement is correct?
A. Every student completes the coursework.
B. It cannot be determined whether every student completes the coursework.
C. No student completes the coursework.
D. Every student who earns course credit must completes."
generated_v4style_300_6_1,6,1,Unknown,False,other_ynu,CompletesCoursework,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? If a student earns course credit, then the student completes the coursework."
generated_v4style_300_7_0,7,0,A,True,mc,DesignsStudy,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which conclusion follows?
A. At least one researcher designs a study.
B. Every researcher designs a study.
C. No researcher designs a study.
D. At least one researcher reads the literature, but nothing about designs a study."
generated_v4style_300_7_1,7,1,Yes,False,universal,PublishesPaper,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,"According to the premises, is the following statement true? Every researcher publishes a paper."
generated_v4style_300_8_0,8,0,A,True,mc,CollectsData,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement can be inferred?
A. Every researcher collects data.
B. No researcher collects data.
C. Only some researchers collects data.
D. The premises do not support any conclusion about collectsing."
generated_v4style_300_8_1,8,1,Yes,False,universal,DesignsStudy,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,"According to the premises, is the following statement true? Every researcher designs a study."
generated_v4style_300_9_0,9,0,A,True,mc,CompletesCoursework,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which conclusion follows?
A. At least one student earns course credit.
B. Every student earns course credit.
C. No student earns course credit.
D. At least one student completes the coursework, but nothing about earns course credit."
generated_v4style_300_9_1,9,1,Yes,False,universal,GraduatesUniversity,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,"According to the premises, is the following statement true? Every student graduates from the university."
generated_v4style_300_10_0,10,0,Unknown,False,universal,JoinsStudyGroup,0.6666666666666666,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all students study group?
generated_v4style_300_10_1,10,1,Unknown,False,universal,CompletesGroupProject,0.6666666666666666,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all students group project?
generated_v4style_300_11_0,11,0,A,True,mc,ProvidesFeedback,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which conclusion follows?
A. At least one mentor provides feedback.
B. Every mentor provides feedback.
C. No mentor provides feedback.
D. At least one mentor schedules a session, but nothing about provides feedback."
generated_v4style_300_11_1,11,1,Yes,False,universal,TracksProgress,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,"According to the premises, is the following statement true? Every mentor tracks progress."
generated_v4style_300_12_0,12,0,B,True,mc,CompletesLabWork,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement is correct?
A. Every student completes the lab work.
B. It cannot be determined whether every student completes the lab work.
C. No student completes the lab work.
D. Every student who passes the lab component must completes."
generated_v4style_300_12_1,12,1,Unknown,False,other_ynu,CompletesLabWork,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? If a student passes the lab component, then the student completes the lab work."
generated_v4style_300_13_0,13,0,B,True,mc,PassesCodeReview,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement is correct?
A. Every developer writes the code.
B. It cannot be determined whether every developer writes the code.
C. No developer writes the code.
D. Every developer who passes the code review must writes."
