id,question,cot,answer,unit
TD401,Calculate the energy stored in capacitor C when C = 100 μF and U = 30 V.,"Step 1: Identify the given values for capacitance (C) and voltage (U).
Step 2: Recall the formula for the energy (E) stored in a capacitor, which is E = 0.5 × C × U^2.
Step 3: Convert the capacitance to Farads: C = 100 μF = 100 × 10^-6 F = 1 × 10^-4 F.
Step 4: Substitute the values into the formula: E = 0.5 × (1 × 10^-4 F) × (30 V)^2.",0.045,J
TD402,"Calculate the capacitance C of the capacitor, given that it stores Q = 3 mC when fully charged under U = 30 V.","Step 1: Identify the given values from the question: the charge Q = 3 mC and the voltage U = 30 V.
Step 2: Recall the formula for capacitance, which is C = Q / U.
Step 3: Convert the charge to the standard unit (Coulombs): Q = 3 mC = 3 × 10⁻³ C.
Step 4: Substitute the values into the formula: C = (3 × 10⁻³ C) / (30 V).",100,μF
LD001,"Two charges, q1 = 6 × 10^-8 C and q2 = -6 × 10^-8 C, are placed at points A and B in air, 8 cm apart. A third charge, q3 = 6 × 10^-8 C, is placed at point C, with CA = 5 cm and CB = 3 cm. Determine the force acting on q3.","Step 1: Identify the given charges and distances.
Step 2: Determine the geometric arrangement of points A, B, and C.
Step 3: Calculate the magnitude of the electrostatic force exerted by q1 on q3 (F13) using Coulomb's Law (F = k × |q1×q2| / r^2), where k = 9 × 10^9 N m^2/C^2.
Step 4: Determine the direction of F13.",0.05,N
LD002,"Three electric charges are placed at three fixed points, forming a right-angled triangle ABC (right-angled at A), where AB = 4 m and BC = 5 m. The charges are qA = 5.0 μC, qB = -5.0 μC, and qC = 4.0 μC, respectively. Find the net electric force acting on the charge at A.","Step 1: Identify the charges and distances given in the problem.
Step 2: The charges are qA = 5.0 μC, qB = -5.0 μC, and qC = 4.0 μC.
Step 3: The known side lengths of the right-angled triangle are AB = 4 m and BC = 5 m.
Step 4: To find the net electric force on charge A, we need to calculate the force exerted by B on A (F_BA) and the force exerted by C on A (F_CA) using Coulomb's Law.",24.45 × 10^-3,N
LD003,"Points A and B are separated by 20 cm in air. Charges q1 = -3 × 10^-6 C and q2 = 8 × 10^-6 C are placed at A and B, respectively. A test charge q3 = 2 × 10^-6 C is placed at point C such that AC = 12 cm and BC = 16 cm. Calculate the magnitude of the electric force acting on q3.","Step 1: Identify the given charges and distances.
Step 2: Convert the given distances from centimeters to meters: AC = 0.12 m, BC = 0.16 m, AB = 0.20 m.
Step 3: Verify the geometry of points A, B, and C. Since AC² + BC² = (0.12 m)² + (0.16 m)² = 0.0144 m² + 0.0256 m² = 0.0400 m², and AB² = (0.20 m)² = 0.0400 m², it implies that AC² + BC² = AB². Therefore, the points form a right-angled triangle at C, meaning angle ACB is 90 degrees.
Step 4: The formula for the magnitude of the electric force between two point charges is F = k |q1 q2| / r², where k is Coulomb's constant.",6.76,N
LD004,"Two point charges q1 = 3 × 10^-8 C and q2 = 2 × 10^-8 C are placed at points A and B in a vacuum, with AB = 5 cm. A charge q0 = -2 × 10^-8 C is placed at M, where MA = 4 cm and MB = 3 cm. Calculate the net electric force acting on q0.","Step 1: Identify the given charges q1 = 3 × 10^-8 C, q2 = 2 × 10^-8 C, and q0 = -2 × 10^-8 C. The distances are MA = 4 cm (0.04 m), MB = 3 cm (0.03 m), and AB = 5 cm (0.05 m). Use Coulomb's constant k = 9 × 10^9 N m^2/C^2.
Step 2: Verify the geometry of points A, M, and B. Since MA^2 + MB^2 = (4 cm)^2 + (3 cm)^2 = 16 cm^2 + 9 cm^2 = 25 cm^2, and AB^2 = (5 cm)^2 = 25 cm^2, it follows that MA^2 + MB^2 = AB^2. Therefore, triangle AMB is a right-angled triangle with the right angle at M.
Step 3: Calculate the magnitude of the electric force F10 exerted by q1 on q0 using Coulomb's Law (F = k|q1q0|/r^2).
Step 4: Determine the direction of F10. Since q1 is positive and q0 is negative, the force F10 is attractive, directed from M towards A.",5.234 × 10^-3,N
LD005,"Three electric charges, q1 = q2 = q3 = 1.6 × 10^-19 C, are placed at the three vertices of an equilateral triangle ABC with side length 16 cm in air. Determine the net electric force vector acting on q3.","Step 1: Identify the given values: charges q1 = q2 = q3 = 1.6 × 10^-19 C, and the side length of the equilateral triangle, r = 16 cm.
Step 2: Convert the side length from centimeters to meters: r = 16 cm = 0.16 m.
Step 3: State Coulomb's Law, F = k × |q_a × q_b| / r^2, and the value of Coulomb's constant for air, k = 8.9875 × 10^9 N m^2/C^2.
Step 4: Calculate the magnitude of the individual electrostatic forces. The force exerted by q1 on q3 (F13) and by q2 on q3 (F23) will have the same magnitude since q1=q2 and the distances are equal: F = (8.9875 × 10^9 N m^2/C^2) × (1.6 × 10^-19 C)^2 / (0.16 m)^2 = 8.9875 × 10^-27 N.",9\sqrt{3} × 10^-27,N
LD006,"Two point charges q1 = 10^-8 C and q2 = -3×10^-8 C are placed in air at two points A and B, 8 cm apart. A point charge q = 10^-8 C is placed at point M, which is on the perpendicular bisector of the line segment AB and 3 cm away from AB. Given k = 9×10^9 N.m^2/C^2. What is the magnitude of the net electric force exerted by q1 and q2 on q?","Step 1: Convert all given distances to meters and set up a coordinate system. Let the midpoint of AB be the origin (0,0). Then point A is at (-0.04 m, 0) and point B is at (0.04 m, 0). Point M is on the perpendicular bisector, 3 cm away from AB, so M is at (0, 0.03 m).
Step 2: Calculate the distances from q1 to q (r1) and from q2 to q (r2).
Step 3: Calculate the magnitude of the electric force F1 exerted by q1 on q using Coulomb's Law, F = k|q1q|/r1^2.
Step 4: Calculate the magnitude of the electric force F2 exerted by q2 on q using Coulomb's Law, F = k|q2q|/r2^2.",1.23 × 10^-3,N
LD007,"Two charges, q1 = +2×10^-6 C and q2 = -2×10^-6 C, are placed at points A and B in a vacuum, 6 cm apart. A third charge, q3 = +2×10^-6 C, is placed on the perpendicular bisector of the line segment AB, 4 cm away from AB. What is the magnitude of the net electric force exerted by q1 and q2 on q3?","Step 1: Identify the given charges and their values: q1 = +2×10^-6 C, q2 = -2×10^-6 C, q3 = +2×10^-6 C.
Step 2: Determine the positions. The distance between q1 and q2 is 6 cm. q3 is on the perpendicular bisector, 4 cm from the line AB. This forms two right-angled triangles with legs 3 cm (half of 6 cm) and 4 cm.
Step 3: Calculate the distance from q1 to q3 (r13) and q2 to q3 (r23). Using the Pythagorean theorem, r = sqrt((3 cm)^2 + (4 cm)^2) = sqrt(9 + 16) = sqrt(25) = 5 cm = 0.05 m. So, r13 = r23 = 0.05 m.
Step 4: Calculate the magnitude of the electric force F13 exerted by q1 on q3 using Coulomb's Law (F = k × |q1 × q3| / r^2, where k = 9×10^9 N m^2/C^2). F13 = (9×10^9 N m^2/C^2) × |(+2×10^-6 C) × (+2×10^-6 C)| / (0.05 m)^2 = (9×10^9 × 4×10^-12) / 0.0025 = (36×10^-3) / (2.5×10^-3) = 14.4 N.",17.28,N
LD008,"Two electric forces are acting in the same direction, with magnitudes of 3 N and 4 N respectively. What is the resultant force?","Step 1: Identify the magnitudes of the two forces given in the problem.
Step 2: Note that the problem states both forces are acting in the same direction.
Step 3: To find the resultant force of multiple forces acting in the same direction, add their magnitudes.
Step 4: Calculate the resultant force by adding the given magnitudes: 3 N + 4 N.",7,N
